title,x,y,cluster
The Cabinet of Dr. Caligari,0.2136217107648287,0.008761035731140851,3
Miraculous World: Shanghai - The Legend of Ladydragon,0.061698894354712416,0.01730713954442318,2
Raise the Red Lantern,-0.0042594024785400746,-0.009591316377626759,3
Me Before You,0.0012393843069820228,0.008168495693886528,1
The Postman,-0.004633975895902264,0.06853416497413137,3
It's Such a Beautiful Day,-0.056567604047578116,-0.06568374143506747,3
"Batman: The Dark Knight Returns, Part 2",0.05973012775078161,-0.06257906931581313,0
Ivan Vasilyevich Changes His Profession,-0.030382130403998158,0.0030957356880987642,3
Predator: Killer of Killers,0.028289062338044315,-0.0359215765901109,1
Monster,0.0075887066965198355,0.0258271705504077,2
Where Is The Friend's House?,-0.01059293011580172,-0.021111283366725898,3
Ghost in the Shell,-0.010083056585318374,0.11733009388652182,0
Raging Bull,-0.03237439560272705,-0.044941483080570534,0
Gone with the Wind,0.018794327952228528,0.0760773611320178,0
Raiders of the Lost Ark,0.0051100639677812785,0.04687927802147759,0
Freedom Writers,-0.10945575777398617,-0.09595863285929955,2
Tokyo Godfathers,0.1299779391542937,-0.0651988115715047,0
Heat,-0.04162636097881367,0.11483638761009672,1
Dallas Buyers Club,0.19212260030649278,-0.0331312828351566,0
Simone: Woman of the Century,0.03243773969253376,0.06159091151951187,2
Ne Zha,-0.06074951764167333,-0.05897720668772499,3
The Cranes Are Flying,-0.06026072568196482,-0.04317643684284876,0
Dersu Uzala,0.017346507268314753,-0.007355900876140976,0
Chinatown,0.004540116183462683,-0.01309745187312477,0
Diabolique,-0.08111386483177788,-0.0017051115887956277,3
Suzume,-0.01531215629854572,0.008847101509686229,2
Where Hands Touch,-0.009794216287994005,0.04897284557362886,0
Yi Yi,-0.08308872392791793,0.07084342622001576,3
CODA,-0.027356167084423965,-0.06048078351023636,2
Nobody,0.007538735615257431,0.18819916960662714,3
Throne of Blood,0.007613755769191679,0.12664792839304057,0
Death Note Relight 1: Visions of a God,0.013405053629563284,-0.001103483612198353,3
Children of Heaven,-0.03767700008288645,0.07021888517438749,1
The Third Man,-0.010549006188214936,-0.011337279202049784,3
Unforgiven,-0.004739373593535837,0.1018367985960857,3
Amélie,0.07068441905326536,-0.02831779600022794,2
We Are the Nobles,0.007191252672789954,-0.052611769563423574,1
About Time,-0.08533232446346031,-0.012356247342534842,1
I'm No Longer Here,-0.021702428934215003,0.03295148539980875,1
La Strada,0.005326099017690511,0.17176142182518647,2
Inside Out,-0.04305275878424872,-0.04267121938354388,2
Three Colors: Red,0.010423408457263743,-0.005100580862460222,3
A Trip to the Moon,-0.04614596875908998,0.02774810553892966,0
Forgotten,-0.0076046866177006504,-0.028169702937779262,3
Limelight,0.04642978953459187,-0.026921625694571908,3
Amarcord,-0.0008956971888420644,-0.007089294132973937,3
What Ever Happened to Baby Jane?,5.571805905289773e-06,0.033459228487295975,2
Cries and Whispers,0.12749900154036486,-0.00589200639613905,2
